niv,deiziad_degemer,insee,kumun,stagadenn,lec_hanv,stumm_orin,rummad,stumm_dibab,deiziad_restr
91913,2007-10-23,29174,Ploneour-Lanwern,,Hent Kerruc,Hent Kerruc,Hent,Hent Kerrug,2016-02-08
66486,2007-10-23,29174,Ploneour-Lanwern,,Kerloyet,Kerloyet,Kêriadenn,Kerloied,2016-02-08
66412,2007-10-23,29174,Ploneour-Lanwern,,Créac'h Mabon,Créac'h Mabon,Kêriadenn,Krec'h Mabon,2016-02-08
66586,2007-10-23,29174,Ploneour-Lanwern,,Quelordan,Quelordan,Kêriadenn,Kelordan,2016-02-08
91866,2007-10-23,29174,Ploneour-Lanwern,,Feunteun Creac'h Ru,Feunteun Creac'h Ru,Monumant,Feunteun Krec'h Ruz,2016-02-08
78101,2007-10-23,29174,Ploneour-Lanwern,,Keristic,Keristic,Kêriadenn,Keristig,2016-02-08
77993,2007-10-23,29174,Ploneour-Lanwern,,Brenanvec Coz,Brenanvec Coz,Kêriadenn,Brenañveg Kozh,2016-02-08
66580,2007-10-23,29174,Ploneour-Lanwern,,Pennarue,Pennarue,Kêriadenn,Pennaru,2016-02-08
78145,2007-10-23,29174,Ploneour-Lanwern,,Penfrat Coz,Penfrat Coz,Kêriadenn,Penfrad Kozh,2016-02-08
78230,2007-10-23,29174,Ploneour-Lanwern,,Treordo Nevez,Treordo Nevez,Kêriadenn,Treordo Nevez,2016-02-08
82207,2007-10-23,29174,Ploneour-Lanwern,,Kerven,Kerven,Kêriadenn,Kerwenn,2016-02-08
82253,2007-10-23,29174,Ploneour-Lanwern,Moulin du,Lan,Moulin du Lan,Kêriadenn,Meilh Lann,2016-02-08
66452,2007-10-23,29174,Ploneour-Lanwern,,Kergonda,Kergonda,Kêriadenn,Kergonda,2016-02-08
82247,2007-10-23,29174,Ploneour-Lanwern,,Kermeur,Kermeur,Kêriadenn,Kerveur,2016-02-08
91986,2007-10-23,29174,Ploneour-Lanwern,,Rest Nevez,Rest Nevez,Kêriadenn,Ar Rest Nevez,2016-02-08
77920,2007-10-23,29174,Ploneour-Lanwern,,Kerfloc'h,Kerfloc'h,Kêriadenn,Kerfloc'h,2016-02-08
78125,2007-10-23,29174,Ploneour-Lanwern,,Kerhoat,Kerhoat,Kêriadenn,Kerc'hoed,2016-02-08
91977,2007-10-23,29174,Ploneour-Lanwern,Route de,Plonéour,Route de Plonéour,Hent,Hent Ploneour,2016-02-08
66564,2007-10-23,29174,Ploneour-Lanwern,Le,Leuret,Le Leuret,Kêriadenn,Al Leure,2016-02-08
78293,2007-10-23,29174,Ploneour-Lanwern,,Ty er Poes,Ty er Poes,Kêriadenn,Tier Poezh,2016-02-08
91987,2007-10-23,29174,Ploneour-Lanwern,,Maner Roscoz,Maner Roscoz,Kêriadenn,Maner Roskozh,2016-02-08
77997,2007-10-23,29174,Ploneour-Lanwern,,Saint Julien,Saint Julien,Kêriadenn,Sant Julien,2016-02-08
78170,2007-10-23,29174,Ploneour-Lanwern,,Kersquedel,Kersquedel,Kêriadenn,Kerskedel,2016-02-08
78132,2007-10-23,29174,Ploneour-Lanwern,,Creniat Vian,Creniat Vian,Kêriadenn,Ar C'hreniad Vihan,2016-02-08
66560,2007-10-23,29174,Ploneour-Lanwern,,Lestréguéoc,Lestréguéoc,Kêriadenn,Lestregeog,2016-02-08
91990,2007-10-23,29174,Ploneour-Lanwern,,Poull ar Roz,Poull ar Roz,Monumant,Poull ar Roz,2016-02-08
66498,2007-10-23,29174,Ploneour-Lanwern,,Keroret,Keroret,Kêriadenn,Kerored,2016-02-08
78239,2007-10-23,29174,Ploneour-Lanwern,,Croascaer,Croascaer,Kêriadenn,Kroez Kaer,2016-02-08
91879,2007-10-23,29174,Ploneour-Lanwern,,Kerambludou Vras,Kerambludou Vras,Kêriadenn,Kerambludoù Vras,2016-02-08
91554,2007-10-23,29174,Ploneour-Lanwern,Fontaine,Saint-Philibert,Fontaine Saint-Philibert,Monumant,Feunteun Sant Filiber,2016-02-08
66480,2007-10-23,29174,Ploneour-Lanwern,,Kerlaouédec,Kerlaouédec,Kêriadenn,Kerlaouedeg,2016-02-08
78154,2007-10-23,29174,Ploneour-Lanwern,,Penquer Nevez,Penquer Nevez,Kêriadenn,Penkêr Nevez,2016-02-08
78025,2007-10-23,29174,Ploneour-Lanwern,,Kersonis Vihan,Kersonis Vihan,Kêriadenn,Kerzoniz Vihan,2016-02-08
91935,2007-10-23,29174,Ploneour-Lanwern,Chapelle de,Lanvern,Chapelle de Lanvern,Monumant,Chapel Lanwern,2016-02-08
78027,2007-10-23,29174,Ploneour-Lanwern,,Mine Yeun,Mine Yeun,Kêriadenn,Menez Yeun,2016-02-08
78253,2007-10-23,29174,Ploneour-Lanwern,,Kerhaen,Kerhaen,Kêriadenn,Kerhaen,2016-02-08
77996,2007-10-23,29174,Ploneour-Lanwern,,Kervoelan Vian,Kervoelan Vian,Kêriadenn,Kervoelan Vihan,2016-02-08
91956,2007-10-23,29174,Ploneour-Lanwern,,Moulin Brulé,Moulin Brulé,Kêriadenn,Ar Veilh Boezh,2016-02-08
78107,2007-10-23,29174,Ploneour-Lanwern,,Kergambae Vihan,Kergambae Vihan,Kêriadenn,Kergambae Vihan,2016-02-08
66468,2007-10-23,29174,Ploneour-Lanwern,,Kerhua,Kerhua,Kêriadenn,Keruha,2016-02-08
66422,2007-10-23,29174,Ploneour-Lanwern,Le,Guib,Le Guib,Kêriadenn,Ar Gib,2016-02-08
78250,2007-10-23,29174,Ploneour-Lanwern,,Kerdrezec,Kerdrezec,Kêriadenn,Kerdrezeg,2016-02-08
77991,2007-10-23,29174,Ploneour-Lanwern,,Canapé,Canapé,Kêriadenn,Kanape,2016-02-08
78289,2007-10-23,29174,Ploneour-Lanwern,,Taroziou,Taroziou,Kêriadenn,An Tarrodoù,2016-02-08
66590,2007-10-23,29174,Ploneour-Lanwern,,Trébonvel,Trébonvel,Kêriadenn,Trebonvael,2016-02-08
66572,2007-10-23,29174,Ploneour-Lanwern,Le,Moulin de Bondivy,Le Moulin de Bondivy,Kêriadenn,Meilh Bondivi,2016-02-08
78294,2007-10-23,29174,Ploneour-Lanwern,,Ty Garde Kerhuel,Ty Garde Kerhuel,Kêriadenn,Ti Gard Keruhel,2016-02-08
78261,2007-10-23,29174,Ploneour-Lanwern,,Maner Bihan,Maner Bihan,Kêriadenn,Maner Bihan,2016-02-08
91934,2007-10-23,29174,Ploneour-Lanwern,,Poull Languivoa,Poull Languivoa,Monumant,Poull Langiwa,2016-02-08
82244,2007-10-23,29174,Ploneour-Lanwern,,Keriou,Keriou,Kêriadenn,Kerriou,2016-02-08
78260,2007-10-23,29174,Ploneour-Lanwern,,Lanluriec,Lanluriec,Kêriadenn,Lanlurieg,2016-02-08
91881,2007-10-23,29174,Ploneour-Lanwern,,Keravel Izelañ,Keravel Izelañ,Kêriadenn,Keravel Izelañ,2016-02-08
78013,2007-10-23,29174,Ploneour-Lanwern,Le,Helles,Le Helles,Kêriadenn,Hellez,2016-02-08
78165,2007-10-23,29174,Ploneour-Lanwern,,Kerleac'h Vian,Kerleac'h Vian,Kêriadenn,Kerlec'h Vihan,2016-02-08
66476,2007-10-23,29174,Ploneour-Lanwern,,Kerignon,Kerignon,Kêriadenn,Kerignon,2016-02-08
78231,2007-10-23,29174,Ploneour-Lanwern,,Balanou,Balanou,Kêriadenn,Balanoù,2016-02-08
78147,2007-10-23,29174,Ploneour-Lanwern,,Penanguer,Penanguer,Kêriadenn,Pennagêr,2016-02-08
82235,2007-10-23,29174,Ploneour-Lanwern,,Coetmeur,Coetmeur,Rann (eus ar gumun),Koed Meur,2016-02-08
91863,2007-10-23,29174,Ploneour-Lanwern,,Feunteun Keloù Mat,Feunteun Keloù Mat,Monumant,Feunteun Keloù Mat,2016-02-08
66598,2009-03-01,29174,Ploneour-Lanwern,,Trémillec,Trémillec,Kêriadenn,Tremilieg,2016-02-08
91926,2007-10-23,29174,Ploneour-Lanwern,,Kervrouyen Gozh,Kervrouyen Gozh,Kêriadenn,Kervrouien Gozh,2016-02-08
91897,2007-10-23,29174,Ploneour-Lanwern,Moulin de,Kerhastel,Moulin de Kerhastel,Kêriadenn,Meilh Gerc'hastell,2016-02-08
91893,2007-10-23,29174,Ploneour-Lanwern,,Kergueff Uhelañ,Kergueff Uhelañ,Kêriadenn,Kergef Uhelañ,2016-02-08
66524,2007-10-23,29174,Ploneour-Lanwern,,Kervelen,Kervelen,Kêriadenn,Kervelen,2016-02-08
66570,2007-10-23,29174,Ploneour-Lanwern,Le,Miné,Le Miné,Kêriadenn,Ar Mine,2016-02-08
78103,2007-10-23,29174,Ploneour-Lanwern,,Kerescant,Kerescant,Kêriadenn,Kereskant,2016-02-08
91859,2007-10-23,29174,Ploneour-Lanwern,Rivière de,Pont-l'-Abbé,Rivière de Pont-l'-Abbé,Dour,Kanol Pont-'n-Abad,2016-02-08
78273,2007-10-23,29174,Ploneour-Lanwern,,Moitié Route,Moitié Route,Kêriadenn,Moitié Route,2016-02-08
82257,2007-10-23,29174,Ploneour-Lanwern,,Ty Pin,Ty Pin,Kêriadenn,Ti Pin,2016-02-08
91916,2007-10-23,29174,Ploneour-Lanwern,,Maner Kersonnard,Maner Kersonnard,Diseurt,Maner Kerzonar,2016-02-08
78135,2007-10-23,29174,Ploneour-Lanwern,,Rest Treouron,Rest Treouron,Kêriadenn,Rest Treouron,2016-02-08
91911,2007-10-23,29174,Ploneour-Lanwern,,Kerruc Dalaë,Kerruc Dalaë,Kêriadenn,Kerrug d'al Lae,2016-02-08
78235,2007-10-23,29174,Ploneour-Lanwern,,Clos,Clos,Kêriadenn,Ar C'hloz,2016-02-08
66554,2007-10-23,29174,Ploneour-Lanwern,,Lescoulouarn,Lescoulouarn,Kêriadenn,Leskoulouarn,2016-02-08
78112,2007-10-23,29174,Ploneour-Lanwern,,Kerprigent,Kerprigent,Kêriadenn,Kerbrijant,2016-02-08
91937,2007-10-23,29174,Ploneour-Lanwern,,Hent Lanvern,Hent Lanvern,Hent,Hent Lanwern,2016-02-08
66404,2007-10-23,29174,Ploneour-Lanwern,,Créacharom,Créacharom,Kêriadenn,Krec'harom,2016-02-08
78247,2007-10-23,29174,Ploneour-Lanwern,,Ker Languiric,Ker Languiric,Kêriadenn,Ker Langirig,2016-02-08
91936,2007-10-23,29174,Ploneour-Lanwern,,Feunteun Lanvern,Feunteun Lanvern,Monumant,Feunteun Lanwern,2016-02-08
82245,2007-10-23,29174,Ploneour-Lanwern,,Kerjauffry,Kerjauffry,Kêriadenn,Kerjafrez,2016-02-08
77995,2007-10-23,29174,Ploneour-Lanwern,,Brenanvec Vian,Brenanvec Vian,Kêriadenn,Brenañveg Vihan,2016-02-08
66582,2007-10-23,29174,Ploneour-Lanwern,,Penscouric,Penscouric,Kêriadenn,Penskourrig,2016-02-08
66490,2007-10-23,29174,Ploneour-Lanwern,,Kerneizan,Kerneizan,Kêriadenn,Kerneizan,2016-02-08
78144,2007-10-23,29174,Ploneour-Lanwern,,Penfrat Bian,Penfrat Bian,Kêriadenn,Penfrad Vihan,2016-02-08
66602,2007-10-23,29174,Ploneour-Lanwern,,Treouron,Treouron,Kêriadenn,Treouron,2016-02-08
82206,2007-10-23,29174,Ploneour-Lanwern,,Kersegas,Kersegas,Kêriadenn,Kerzegas,2016-02-08
77972,2007-10-23,29174,Ploneour-Lanwern,,Méjou Roz,Méjou Roz,Kêriadenn,Mejoù Roz,2016-02-08
78130,2007-10-23,29174,Ploneour-Lanwern,,Kergorn,Kergorn,Kêriadenn,Kergorn,2016-02-08
66530,2007-10-23,29174,Ploneour-Lanwern,,Kerviligou,Kerviligou,Kêriadenn,Kerviligou,2016-02-08
78286,2007-10-23,29174,Ploneour-Lanwern,Le,Roz,Le Roz,Kêriadenn,Ar Roz,2016-02-08
78081,2007-10-23,29174,Ploneour-Lanwern,,Kerfoulard Nevez,Kerfoulard Nevez,Kêriadenn,Kerfoular Nevez,2016-02-08
78140,2007-10-23,29174,Ploneour-Lanwern,,Creniat Yeun,Creniat Yeun,Kêriadenn,Ar C'hreniad Yeun,2016-02-08
91883,2007-10-23,29174,Ploneour-Lanwern,,Kerdalem Vihan,Kerdalem Vihan,Kêriadenn,Kerdalem Vihan,2016-02-08
91995,2007-10-23,29174,Ploneour-Lanwern,Route de,Saint Jean,Route de Saint Jean,Hent,Hent Sant Yann,2016-02-08
91873,2007-10-23,29174,Ploneour-Lanwern,,An Estreved Poulloù,An Estreved Poulloù,Hent,An Estreved Poulloù,2016-02-08
91962,2007-10-23,29174,Ploneour-Lanwern,,Toull-dour ar Veilh Nevez,Toull-dour ar Veilh Nevez,Dour,Toull-dour ar Veilh Nevez,2016-02-08
78263,2007-10-23,29174,Ploneour-Lanwern,Manoir de,Treouron,Manoir de Treouron,Kêriadenn,Maner Treouron,2016-02-08
78287,2007-10-23,29174,Ploneour-Lanwern,,Stang ar Rozen,Stang ar Rozen,Kêriadenn,Stank ar Rozenn,2016-02-08
78258,2007-10-23,29174,Ploneour-Lanwern,,Kerstephane,Kerstephane,Kêriadenn,Kersteven,2016-02-08
91996,2007-10-23,29174,Ploneour-Lanwern,,Loc'h ar Stang,Loc'h ar Stang,Dour,Loc'h ar Stank,2016-02-08
91891,2007-10-23,29174,Ploneour-Lanwern,,Poull Kergonian,Poull Kergonian,Monumant,Poull Kergonian,2016-02-08
66500,2007-10-23,29174,Ploneour-Lanwern,,Keroulé,Keroulé,Kêriadenn,Keroule,2016-02-08
91944,2007-10-23,29174,Ploneour-Lanwern,,Kroez Lescoulouarn,Kroez Lescoulouarn,Monumant,Kroez Leskoulouarn,2016-02-08
78030,2007-10-23,29174,Ploneour-Lanwern,,Kerandraon,Kerandraon,Kêriadenn,Kerandraon,2016-02-08
82208,2007-10-23,29174,Ploneour-Lanwern,,Feunteun Sant Vodé,Feunteun Sant Vodé,Monumant,Feunteun Sant Vaodez,2016-02-08
91907,2007-10-23,29174,Ploneour-Lanwern,,Kerläouédec Bian,Kerläouédec Bian,Kêriadenn,Kerlaouedeg Vihan,2016-02-08
66606,2007-10-23,29174,Ploneour-Lanwern,Le,Veuz,Le Veuz,Kêriadenn,Ar Veuz,2016-02-08
6036,2001-11-26,29174,Ploneour-Lanwern,,Languivoa,Languivoa,Kêriadenn,Langiwa,2016-02-08
77977,2007-10-23,29174,Ploneour-Lanwern,,Pen ar Pont,Pen ar Pont,Kêriadenn,Penn ar Pont,2016-02-08
66402,2007-10-23,29174,Ploneour-Lanwern,,Coat Guéguen,Coat Guéguen,Kêriadenn,Koad Gwegen,2016-02-08
78111,2007-10-23,29174,Ploneour-Lanwern,,Fao Glaz,Fao Glaz,Kêriadenn,Fao C'hlas,2016-02-08
78269,2007-10-23,29174,Ploneour-Lanwern,,Mine Glaz,Mine Glaz,Kêriadenn,Mine Glas,2016-02-08
66470,2007-10-23,29174,Ploneour-Lanwern,,Keribic,Keribic,Kêriadenn,Keribig,2016-02-08
77984,2007-10-23,29174,Ploneour-Lanwern,,Kermorvan Coz,Kermorvan Coz,Kêriadenn,Kervorvan Gozh,2016-02-08
78099,2007-10-23,29174,Ploneour-Lanwern,Moulin de,Trémillec,Moulin de Trémillec,Kêriadenn,Meilh Dremilieg,2016-02-08
66448,2007-10-23,29174,Ploneour-Lanwern,,Kerganet,Kerganet,Kêriadenn,Kerganed,2016-02-08
78134,2007-10-23,29174,Ploneour-Lanwern,,Kerhua Vian,Kerhua Vian,Kêriadenn,Keruha Vihan,2016-02-08
78116,2007-10-23,29174,Ploneour-Lanwern,Le,Cosquer Nevez,Le Cosquer Nevez,Kêriadenn,Ar Gozhkêr Nevez,2016-02-08
78005,2007-10-23,29174,Ploneour-Lanwern,,Kereon d'Alae,Kereon d'Alae,Kêriadenn,Kereon d'al Lae,2016-02-08
91895,2007-10-23,29174,Ploneour-Lanwern,,Kanol Kerguivian,Kanol Kerguivian,Dour,Kanol Kergivian,2016-02-08
78172,2007-10-23,29174,Ploneour-Lanwern,La,Tour,La Tour,Kêriadenn,An Tour,2016-02-08
66594,2007-10-23,29174,Ploneour-Lanwern,,Trégonda,Trégonda,Kêriadenn,Tregonda,2016-02-08
78295,2007-10-23,29174,Ploneour-Lanwern,,Ty Kerganet,Ty Kerganet,Kêriadenn,Ti Kerganed,2016-02-08
91985,2007-10-23,29174,Ploneour-Lanwern,,Maner Quelordan,Maner Quelordan,Kêriadenn,Maner Kelordan,2016-02-08
91953,2007-10-23,29174,Ploneour-Lanwern,,Poull Mariano,Poull Mariano,Monumant,Poull Mariano,2016-02-08
66496,2007-10-23,29174,Ploneour-Lanwern,,Keroec,Keroec,Kêriadenn,Kerroeg,2016-02-08
66546,2007-10-23,29174,Ploneour-Lanwern,,Léac'h-Durand,Léac'h-Durand,Kêriadenn,Lec'h Durant,2016-02-08
66432,2007-10-23,29174,Ploneour-Lanwern,,Kerbenoc'h,Kerbenoc'h,Kêriadenn,Kerbennoc'h,2016-02-08
91860,2007-10-23,29174,Ploneour-Lanwern,,Hent Boderes,Hent Boderes,Hent,Hent ar Boderezh,2016-02-08
66488,2007-10-23,29174,Ploneour-Lanwern,,Kerlenesq,Kerlenesq,Kêriadenn,Kerlennesk,2016-02-08
91901,2007-10-23,29174,Ploneour-Lanwern,,Feunteun Keriequel,Feunteun Keriequel,Monumant,Feunteun Keriekel,2016-02-08
91905,2007-10-23,29174,Ploneour-Lanwern,,Kerignon bras,Kerignon bras,Kêriadenn,Kerignon Vras,2016-02-08
66384,2007-10-23,29174,Ploneour-Lanwern,,Brec'houel,Brec'houel,Kêriadenn,Brec'houel,2016-02-08
78277,2007-10-23,29174,Ploneour-Lanwern,,Penale,Penale,Kêriadenn,Pennale,2016-02-08
66410,2007-10-23,29174,Ploneour-Lanwern,,Créac'h Irvin,Créac'h Irvin,Kêriadenn,Krec'h Irvin,2016-02-08
91969,2007-10-23,29174,Ploneour-Lanwern,,Impasse de Penhoad,Impasse de Penhoad,Hent,Penc'hoad,2016-02-08
92004,2007-10-23,29174,Ploneour-Lanwern,,Tréordo bian,Tréordo bian,Kêriadenn,Treordo Bihan,2016-02-08
91927,2007-10-23,29174,Ploneour-Lanwern,,Kervrouyen Vihan,Kervrouyen Vihan,Kêriadenn,Kervrouien Vihan,2016-02-08
91903,2007-10-23,29174,Ploneour-Lanwern,Moulin de,Kerignon,Moulin de Kerignon,Kêriadenn,Meilh Gerignon,2016-02-08
78158,2007-10-23,29174,Ploneour-Lanwern,,Kerguellou Vian,Kerguellou Vian,Kêriadenn,Kergellou Vihan,2016-02-08
78009,2007-10-23,29174,Ploneour-Lanwern,,Kervern,Kervern,Kêriadenn,Kervern,2016-02-08
91981,2007-10-23,29174,Ploneour-Lanwern,,Ar Poul Bian,Ar Poul Bian,Monumant,Ar Poull Bihan,2016-02-08
77974,2007-10-23,29174,Ploneour-Lanwern,,Kerfelest Vian,Kerfelest Vian,Kêriadenn,Kerfelez Vihan,2016-02-08
92009,2007-10-23,29174,Ploneour-Lanwern,,Ty-Roux,Ty-Roux,Kêriadenn,Ti Rouz,2016-02-08
91945,2007-10-23,29174,Ploneour-Lanwern,,Maner Lescoulouarn,Maner Lescoulouarn,Kêriadenn,Maner Leskoulouarn,2016-02-08
78161,2007-10-23,29174,Ploneour-Lanwern,,Roscoz Bihan,Roscoz Bihan,Kêriadenn,Roskozh Vihan,2016-02-08
66504,2012-10-09,29174,Ploneour-Lanwern,,Kersalous,Kersalous,Kêriadenn,Kersalouz,2016-02-08
78128,2007-10-23,29174,Ploneour-Lanwern,,Cosmaner Nevez,Cosmaner Nevez,Kêriadenn,Ar C'hozhvaner Nevez,2016-02-08
78149,2007-10-23,29174,Ploneour-Lanwern,,Lespenhy Vian,Lespenhy Vian,Kêriadenn,Lespenc'hi Vihan,2016-02-08
66436,2007-10-23,29174,Ploneour-Lanwern,,Kerbrohen,Kerbrohen,Kêriadenn,Kerbroc'hen,2016-02-08
78264,2007-10-23,29174,Ploneour-Lanwern,Rue de,Mariano,Rue de Mariano,Hent,Hent Mariano,2016-02-08
91997,2007-10-23,29174,Ploneour-Lanwern,,Poull al Loc'h,Poull al Loc'h,Monumant,Poull al Loc'h,2016-02-08
78142,2007-10-23,29174,Ploneour-Lanwern,,Kerniou Vian,Kerniou Vian,Kêriadenn,Kerniou Vihan,2016-02-08
78238,2007-10-23,29174,Ploneour-Lanwern,,Croas ar Mine,Croas ar Mine,Monumant,Kroaz ar Mine,2016-02-08
66428,2007-10-23,29174,Ploneour-Lanwern,,Kerallan,Kerallan,Kêriadenn,Keralann,2016-02-08
91952,2007-10-23,29174,Ploneour-Lanwern,,Feunteun Mariano,Feunteun Mariano,Monumant,Feunteun Mariano,2016-02-08
77999,2007-10-23,29174,Ploneour-Lanwern,,Kerlan,Kerlan,Kêriadenn,Kerlann,2016-02-08
66396,2007-10-23,29174,Ploneour-Lanwern,,Briscoul,Briscoul,Kêriadenn,Briskoul,2016-02-08
78151,2007-10-23,29174,Ploneour-Lanwern,,Penquer,Penquer,Kêriadenn,Penkêr,2016-02-08
78217,2007-10-23,29174,Ploneour-Lanwern,,Kerseurec Vihan,Kerseurec Vihan,Kêriadenn,Kerzeureg Vihan,2016-02-08
78266,2007-10-23,29174,Ploneour-Lanwern,,Menez Bian,Menez Bian,Kêriadenn,Menez Bihan,2016-02-08
66458,2007-10-23,29174,Ploneour-Lanwern,,Kergoulouarn,Kergoulouarn,Kêriadenn,Kergoulouarn,2016-02-08
77927,2007-10-23,29174,Ploneour-Lanwern,,Kervilloc Vian,Kervilloc Vian,Kêriadenn,Kervillog Vras,2016-02-08
78008,2007-10-23,29174,Ploneour-Lanwern,,Runevez Bian,Runevez Bian,Kêriadenn,Ar Ru Nevez Vihan,2016-02-08
78105,2007-10-23,29174,Ploneour-Lanwern,,Kergambae,Kergambae,Kêriadenn,Kergambae,2016-02-08
91921,2007-10-23,29174,Ploneour-Lanwern,,Kersulec dalaé,Kersulec dalaé,Kêriadenn,Kersuleg d'al Lae,2016-02-08
66420,2007-10-23,29174,Ploneour-Lanwern,Le,Guenvez,Le Guenvez,Kêriadenn,Ar Genvez,2016-02-08
78259,2007-10-23,29174,Ploneour-Lanwern,,Kertanneau,Kertanneau,Kêriadenn,Kerdano,2016-02-08
92002,2007-10-23,29174,Ploneour-Lanwern,Route de,Tréogat,Route de Tréogat,Hent,Hent Trêgad,2016-02-08
91965,2007-10-23,29174,Ploneour-Lanwern,,An Otel Bihan,An Otel Bihan,Kêriadenn,An Otel Bihan,2016-02-08
92000,2007-10-23,29174,Ploneour-Lanwern,,Traon ar Veuz,Traon ar Veuz,Kêriadenn,Traoñ ar Veuz,2016-02-08
91951,2007-10-23,29174,Ploneour-Lanwern,,Mariano,Mariano,Karter,Mariano,2016-02-08
82251,2007-10-23,29174,Ploneour-Lanwern,,Maesamoez,Maesamoez,Kêriadenn,Maezamoez,2016-02-08
91918,2007-10-23,29174,Ploneour-Lanwern,,Poull Kersquedel,Poull Kersquedel,Monumant,Poull Kerskedel,2016-02-08
66426,2007-10-23,29174,Ploneour-Lanwern,,Keraden,Keraden,Kêriadenn,Kerraden,2016-02-08
91979,2007-10-23,29174,Ploneour-Lanwern,,Laezenn ar Plukator,Laezenn ar Plukator,Diseurt,Laezenn ar Plukator,2016-02-08
82238,2007-10-23,29174,Ploneour-Lanwern,,Kerangars,Kerangars,Kêriadenn,Kerarc'harzh,2016-02-08
82205,2007-10-23,29174,Ploneour-Lanwern,,Gore Kerhua,Gore Kerhua,Kêriadenn,Gorre Keruha,2016-02-08
78254,2007-10-23,29174,Ploneour-Lanwern,,Kerlavar,Kerlavar,Kêriadenn,Kerlavar,2016-02-08
78298,2007-10-23,29174,Ploneour-Lanwern,,Ty Warem,Ty Warem,Kêriadenn,Ti ar Waremm,2016-02-08
78114,2007-10-23,29174,Ploneour-Lanwern,,Viloury Caoudal,Viloury Caoudal,Kêriadenn,Ar Vilouri Gaoudal,2016-02-08
124560,2011-11-21,29174,Ploneour-Lanwern,Rue,Charles le Goffic,Rue Charles le Goffic,Hent,Straed Charlez ar Govig,2016-02-08
91968,2007-10-23,29174,Ploneour-Lanwern,,Pen ar Prat Coz,Pen ar Prat Coz,Kêriadenn,Penn ar Prad Kozh,2016-02-08
66400,2007-10-23,29174,Ploneour-Lanwern,,Coatellen,Coatellen,Kêriadenn,Koatelen,2016-02-08
66418,2007-10-23,29174,Ploneour-Lanwern,,Fao Youen,Fao Youen,Kêriadenn,Fao Youenn,2016-02-08
78270,2007-10-23,29174,Ploneour-Lanwern,,Mine Languric,Mine Languric,Kêriadenn,Mine Langirig,2016-02-08
91900,2007-10-23,29174,Ploneour-Lanwern,,Keriel,Keriel,Kêriadenn,Keriell,2016-02-08
77986,2007-10-23,29174,Ploneour-Lanwern,,Kermorvan Vian,Kermorvan Vian,Kêriadenn,Kervorvan Vihan,2016-02-08
78100,2007-10-23,29174,Ploneour-Lanwern,Moulin du,Fao,Moulin du Fao,Kêriadenn,Meilh Fao,2016-02-08
66450,2007-10-23,29174,Ploneour-Lanwern,,Kergaviny,Kergaviny,Kêriadenn,Kergavini,2016-02-08
66518,2007-10-23,29174,Ploneour-Lanwern,,Kervahut,Kervahut,Kêriadenn,Kervahu,2016-02-08
78118,2007-10-23,29174,Ploneour-Lanwern,,Cosquer Vras,Cosquer Vras,Kêriadenn,Ar Gozhkêr Vras,2016-02-08
91885,2007-10-23,29174,Ploneour-Lanwern,,Kereon Izelañ,Kereon Izelañ,Kêriadenn,Kereon Izelañ,2016-02-08
91943,2007-10-23,29174,Ploneour-Lanwern,,Kanol Lescoulouarn,Kanol Lescoulouarn,Dour,Kanol Leskoulouarn,2016-02-08
66596,2007-10-23,29174,Ploneour-Lanwern,,Treluan,Treluan,Kêriadenn,Treluan,2016-02-08
78291,2007-10-23,29174,Ploneour-Lanwern,,Ty Crohan,Ty Crohan,Kêriadenn,Ti Kroc'hen,2016-02-08
91909,2007-10-23,29174,Ploneour-Lanwern,,Maner Kerneizan,Maner Kerneizan,Kêriadenn,Maner Kerneizan,2016-02-08
